# METADATA:
# 000BV: Paris 5ème - Tour Zamansky, Jussieu
# 000CT: Paris 6ème - Saint Germain des Prés
# 000EW: Paris 20ème - Porte de Vincennes
# ME028: [MAE] Collège Jean Moulin - MONTREUIL
# ME098: [MAE] ESPE - PARIS
# ME099: [MAE] LATMOS - PARIS 
# STATIC0061: [MAE] Paris 12ème - Porte Dorée
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;pression_variation_3h;humidite;point_de_rosee;visibilite;vent_moyen;vent_rafales;vent_rafales_10min;vent_direction;temperature_min;temperature_max;pluie_1h;pluie_3h;pluie_6h;pluie_12h;pluie_24h;pluie_cumul_0h;pluie_intensite;pluie_intensite_max_1h;uv;uv_index;ensoleillement;temperature_sol;temps_omm;complements;source
string;YYYY-MM-DD hh:mm:ss;°C;hPa;hPa;%;°C;m;km/h;km/h;km/h;deg;°C;°C;mm;mm;mm;mm;mm;mm;mm/h;mm/h;W/m²;UV Index;hours;°C;https://www.infoclimat.fr/stations-meteo/ww.php;various;StatIC={oy1110,liveobjects,wlkIPxml,wlkLive,csv,weatherlink,vws,vws2,mnw,weewxPosteriori,wlk2webdlRR,wlkLivePostprocessed,wlk2webdl}|Synop={metno1,ogimet,bufr,inra,arpa-liguria,jma1,swiss-opendata,mcx,meteocentre,andorre,arpa-piemonte}
000BV;2022-06-01 00:00:00;14.8;1014.1;;59;6.7;;0;;4.8;261;14.8;16.1;;;;;;;;;;;;;;@@0@@721.6@@@11.3@15.5@15.5@16.9@1:58am@12:00am@15@14.4@13.65@41@40@41@12:00am@1:34am@2400@1353@+0200;wlkIPxml
000BV;2022-06-01 00:10:00;14.8;1014.1;;59;6.7;;0;;6.4;261;14.8;16.1;;;;;;;;;;;;;;@@0@@721.6@@@11.3@15.4@15.4@16.9@2:10am@12:00am@15@14.4@13.65@41@40@41@12:00am@1:34am@2400@1353@+0200;wlkIPxml
000BV;2022-06-01 00:20:00;14.8;1014.2;;60;7.2;;0;;4.8;261;14.8;16.1;;;;;;;;;;;;;;@@0@@721.6@@@11.3@15.3@15.3@16.9@2:17am@12:00am@15@14.4@13.65@41@40@41@12:00am@1:34am@2400@1419@+0200;wlkIPxml
000BV;2022-06-01 00:30:00;14.7;1014.1;;60;6.7;;0;;9.7;263;14.7;16.1;;;;;;;;;;;;;;@@0@@721.6@@@11.3@15.1@15.1@16.9@2:31am@12:00am@15@14.4@13.65@41@40@41@12:00am@1:34am@2400@1428@+0200;wlkIPxml
000BV;2022-06-01 00:40:00;14.6;1014.1;;61;7.2;;0;;6.4;263;14.6;16.1;;;;;;;;;;;;;;@@0@@721.6@@@11.3@15@15@16.9@2:39am@12:00am@14.4@13.9@13.65@41@40@41@12:00am@1:34am@2400@1439@+0200;wlkIPxml
000BV;2022-06-01 00:50:00;14.6;1014.1;;61;7.2;;0;;3.2;263;14.6;16.1;;;;;;;;;;;;;;@@0@@721.6@@@11.3@14.9@14.9@16.9@2:47am@12:00am@14.4@13.9@13.65@41@40@41@12:00am@1:34am@2400@1444@+0200;wlkIPxml
000BV;2022-06-01 01:00:00;14.6;1014.1;;61;7.2;;0;;4.8;263;14.5;16.1;;;;;;;;;;;;;;@@0@@721.6@@@11.3@14.8@14.8@16.9@2:55am@12:00am@14.4@13.9@13.65@41@40@41@12:00am@1:34am@2400@1457@+0200;wlkIPxml
000BV;2022-06-01 01:10:00;14.5;1014.1;;61;7.2;;0;;4.8;263;14.5;16.1;;;;;;;;;;;;;;@@0@@721.6@@@11.3@14.7@14.7@16.9@3:01am@12:00am@14.4@13.9@13.65@41@40@41@12:00am@1:34am@2400@1457@+0200;wlkIPxml
000BV;2022-06-01 01:20:00;14.4;1014.1;;61;6.7;;0;;0;263;14.4;16.1;;;;;;;;;;;;;;@@0@@721.6@@@11.3@14.7@14.7@16.9@3:13am@12:00am@14.4@13.9@13.65@41@40@41@12:00am@1:34am@2400@1516@+0200;wlkIPxml
