station,time,lat,lon,temperature
000BV,2019-06-01 06:00:00+02:00,48.847,2.356,16.9
000BV,2019-06-01 07:00:00+02:00,48.847,2.356,17.516666666666666
000BV,2019-06-01 08:00:00+02:00,48.847,2.356,19.083333333333332
000BV,2019-06-01 09:00:00+02:00,48.847,2.356,20.75
000BV,2019-06-01 10:00:00+02:00,48.847,2.356,22.21666666666667
000BV,2019-06-01 11:00:00+02:00,48.847,2.356,23.3
000BV,2019-06-01 12:00:00+02:00,48.847,2.356,24.3
000BV,2019-06-01 13:00:00+02:00,48.847,2.356,25.28333333333333
000BV,2019-06-01 14:00:00+02:00,48.847,2.356,25.983333333333334
000BV,2019-06-01 15:00:00+02:00,48.847,2.356,27.066666666666666
000BV,2019-06-01 16:00:00+02:00,48.847,2.356,27.333333333333332
000BV,2019-06-01 17:00:00+02:00,48.847,2.356,28.0
000BV,2019-06-01 18:00:00+02:00,48.847,2.356,28.05
000BV,2019-06-02 06:00:00+02:00,48.847,2.356,19.083333333333332
000BV,2019-06-02 07:00:00+02:00,48.847,2.356,19.55
000BV,2019-06-02 08:00:00+02:00,48.847,2.356,21.166666666666668
000BV,2019-06-02 09:00:00+02:00,48.847,2.356,23.516666666666666
000BV,2019-06-02 10:00:00+02:00,48.847,2.356,25.45
000BV,2019-06-02 11:00:00+02:00,48.847,2.356,27.349999999999998
000BV,2019-06-02 12:00:00+02:00,48.847,2.356,28.71666666666667
000BV,2019-06-02 13:00:00+02:00,48.847,2.356,29.483333333333334
000BV,2019-06-02 14:00:00+02:00,48.847,2.356,30.21666666666667
000BV,2019-06-02 15:00:00+02:00,48.847,2.356,30.833333333333332
000BV,2019-06-02 16:00:00+02:00,48.847,2.356,31.05
000BV,2019-06-02 17:00:00+02:00,48.847,2.356,30.683333333333334
000BV,2019-06-02 18:00:00+02:00,48.847,2.356,30.116666666666664
000BV,2019-06-03 06:00:00+02:00,48.847,2.356,18.71666666666667
000BV,2019-06-03 07:00:00+02:00,48.847,2.356,18.366666666666664
000BV,2019-06-03 08:00:00+02:00,48.847,2.356,18.349999999999998
000BV,2019-06-03 09:00:00+02:00,48.847,2.356,17.916666666666668
000BV,2019-06-03 10:00:00+02:00,48.847,2.356,17.816666666666666
000BV,2019-06-03 11:00:00+02:00,48.847,2.356,18.150000000000002
000BV,2019-06-03 12:00:00+02:00,48.847,2.356,18.05
000BV,2019-06-03 13:00:00+02:00,48.847,2.356,18.566666666666666
000BV,2019-06-03 14:00:00+02:00,48.847,2.356,18.583333333333332
000BV,2019-06-03 15:00:00+02:00,48.847,2.356,18.366666666666667
000BV,2019-06-03 16:00:00+02:00,48.847,2.356,19.466666666666665
000BV,2019-06-03 17:00:00+02:00,48.847,2.356,20.016666666666666
000BV,2019-06-03 18:00:00+02:00,48.847,2.356,20.433333333333334
000BV,2019-06-04 06:00:00+02:00,48.847,2.356,16.183333333333334
000BV,2019-06-04 07:00:00+02:00,48.847,2.356,16.483333333333334
000BV,2019-06-04 08:00:00+02:00,48.847,2.356,16.566666666666666
000BV,2019-06-04 09:00:00+02:00,48.847,2.356,17.483333333333334
000BV,2019-06-04 10:00:00+02:00,48.847,2.356,19.183333333333334
000BV,2019-06-04 11:00:00+02:00,48.847,2.356,20.95
000BV,2019-06-04 12:00:00+02:00,48.847,2.356,22.3
000BV,2019-06-04 13:00:00+02:00,48.847,2.356,24.28333333333333
000BV,2019-06-04 14:00:00+02:00,48.847,2.356,25.483333333333334
000BV,2019-06-04 15:00:00+02:00,48.847,2.356,26.5
000BV,2019-06-04 16:00:00+02:00,48.847,2.356,27.033333333333335
000BV,2019-06-04 17:00:00+02:00,48.847,2.356,26.28333333333333
000BV,2019-06-04 18:00:00+02:00,48.847,2.356,21.599999999999998
000BV,2019-06-05 06:00:00+02:00,48.847,2.356,14.133333333333333
000BV,2019-06-05 07:00:00+02:00,48.847,2.356,14.299999999999999
000BV,2019-06-05 08:00:00+02:00,48.847,2.356,14.883333333333333
000BV,2019-06-05 09:00:00+02:00,48.847,2.356,15.25
000BV,2019-06-05 10:00:00+02:00,48.847,2.356,15.549999999999999
000BV,2019-06-05 11:00:00+02:00,48.847,2.356,15.583333333333334
000BV,2019-06-05 12:00:00+02:00,48.847,2.356,15.183333333333332
000BV,2019-06-05 13:00:00+02:00,48.847,2.356,14.516666666666666
000BV,2019-06-05 14:00:00+02:00,48.847,2.356,14.0
000BV,2019-06-05 15:00:00+02:00,48.847,2.356,13.033333333333333
000BV,2019-06-05 16:00:00+02:00,48.847,2.356,12.633333333333333
000BV,2019-06-05 17:00:00+02:00,48.847,2.356,12.633333333333333
000BV,2019-06-05 18:00:00+02:00,48.847,2.356,12.233333333333334
000BV,2019-06-06 06:00:00+02:00,48.847,2.356,11.450000000000001
000BV,2019-06-06 07:00:00+02:00,48.847,2.356,11.700000000000001
000BV,2019-06-06 08:00:00+02:00,48.847,2.356,12.049999999999999
000BV,2019-06-06 09:00:00+02:00,48.847,2.356,12.466666666666667
000BV,2019-06-06 10:00:00+02:00,48.847,2.356,13.216666666666667
000BV,2019-06-06 11:00:00+02:00,48.847,2.356,14.719999999999999
000BV,2019-06-06 12:00:00+02:00,48.847,2.356,15.7
