file,var,dims,dtype,units,standard_name,long_name
75110001_LARIBOISIERE_MTO_1H_2019.nc,td,4019,float32,Kelvin,dew_point_temperature,
75110001_LARIBOISIERE_MTO_1H_2019.nc,ta,4019,float32,Kelvin,air_temperature,
75110001_LARIBOISIERE_MTO_1H_2019.nc,ta_max,4019,float32,Kelvin,,air_temperature maximum
75110001_LARIBOISIERE_MTO_1H_2019.nc,ta_min,4019,float32,Kelvin,,air_temperature minimum
75110001_LARIBOISIERE_MTO_1H_2019.nc,rh,4019,float32,%,relative_humidity,
75110001_LARIBOISIERE_MTO_1H_2019.nc,rh_max,4019,float32,%,,relative_humidity maximum
75110001_LARIBOISIERE_MTO_1H_2019.nc,rh_min,4019,float32,%,,relative_humidity minimum
75110001_LARIBOISIERE_MTO_1H_2019.nc,wd,4019,float32,degree,wind_from_direction,
75110001_LARIBOISIERE_MTO_1H_2019.nc,ws,4019,float32,m.s^-1,wind_speed,
75110001_LARIBOISIERE_MTO_1H_2019.nc,dxi,4019,float32,degree,wind_from_direction,
75110001_LARIBOISIERE_MTO_1H_2019.nc,ws_max,4019,float32,m.s^-1,wind_speed_of_gust,
75110001_LARIBOISIERE_MTO_1H_2019.nc,dxy,4019,float32,degree,maximal_direction_mean_wind,
75110001_LARIBOISIERE_MTO_1H_2019.nc,mws_max,4019,float32,m.s^-1,mean_wind_speed_of_gust,
75110001_LARIBOISIERE_MTO_1H_2019.nc,cumul_precip,4019,float32,mm,precipitation_amount,
75110001_LARIBOISIERE_MTO_1H_2019.nc,ts_10,4019,float32,Kelvin,,soil temperature at -10cm
75110001_LARIBOISIERE_MTO_1H_2019.nc,ts_20,4019,float32,Kelvin,,soil temperature at -20cm
75110001_LARIBOISIERE_MTO_1H_2019.nc,ts_50,4019,float32,Kelvin,,soil temperature at -50cm
75110001_LARIBOISIERE_MTO_1H_2019.nc,ts_100,4019,float32,Kelvin,,soil temperature at -100cm
75110001_LARIBOISIERE_MTO_1H_2019.nc,visi,4019,float32,m,visibility_in_air,
75110001_LARIBOISIERE_MTO_1H_2019.nc,soil_st,4019,float32,code,,soil state
75110001_LARIBOISIERE_MTO_1H_2019.nc,snow_height,4019,float32,m,surface_snow_thickness,
75110001_LARIBOISIERE_MTO_1H_2019.nc,nebulosity,4019,float32,octa,,total nebulosity in octa
75110001_LARIBOISIERE_MTO_1H_2019.nc,insolh_duration,4019,float32,mn,,duration of insolation
75110001_LARIBOISIERE_MTO_1H_2019.nc,glo,4019,float32,J.m-2,integral_of_surface_downwelling_shortwave_flux_in_air_wrt_time,
75110001_LARIBOISIERE_MTO_1H_2019.nc,pres,4019,float32,Pa,air_pressure,
75110001_LARIBOISIERE_MTO_1H_2019.nc,pres_sl,4019,float32,Pa,air_pressure_at_sea_level,
75110001_LARIBOISIERE_MTO_1H_2019.nc,time,4019,datetime64[ns],,time,
75110001_LARIBOISIERE_MTO_1H_2019.nc,station_name,,|S12,,,timeseries_id
75110001_LARIBOISIERE_MTO_1H_2019.nc,lon,,float32,degrees_east,longitude,station longitude
75110001_LARIBOISIERE_MTO_1H_2019.nc,lat,,float32,degrees_north,latitude,station latitude
75110001_LARIBOISIERE_MTO_1H_2019.nc,alt,,float32,m,height,vertical distance above the sea surface
75110001_LARIBOISIERE_MTO_1H_2022.nc,td,8760,float32,Kelvin,dew_point_temperature,
75110001_LARIBOISIERE_MTO_1H_2022.nc,ta,8760,float32,Kelvin,air_temperature,
75110001_LARIBOISIERE_MTO_1H_2022.nc,ta_max,8760,float32,Kelvin,,air_temperature maximum
75110001_LARIBOISIERE_MTO_1H_2022.nc,ta_min,8760,float32,Kelvin,,air_temperature minimum
75110001_LARIBOISIERE_MTO_1H_2022.nc,rh,8760,float32,%,relative_humidity,
75110001_LARIBOISIERE_MTO_1H_2022.nc,rh_max,8760,float32,%,,relative_humidity maximum
75110001_LARIBOISIERE_MTO_1H_2022.nc,rh_min,8760,float32,%,,relative_humidity minimum
75110001_LARIBOISIERE_MTO_1H_2022.nc,wd,8760,float32,degree,wind_from_direction,
