station_name,time_local,issues,ta_C,cumul_precip_mm
b'LONGCHAMP',2019-07-20 16:00:00+02:00,missing_temp,,0.0
b'LONGCHAMP',2019-07-20 17:00:00+02:00,missing_temp,,0.0
b'LONGCHAMP',2019-07-20 18:00:00+02:00,missing_temp,,0.0
b'LONGCHAMP',2019-07-21 16:00:00+02:00,missing_temp,,0.0
b'LONGCHAMP',2019-07-21 17:00:00+02:00,missing_temp,,0.0
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 08:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 09:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 10:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 11:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 12:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 13:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 14:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 15:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 16:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 17:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 18:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 19:00:00+02:00,missing_temp,,
b'PARIS-MONTSOURIS-DOUBLE',2022-08-04 20:00:00+02:00,missing_temp,,
